Potential (V)	Current (A)	
-0.372954785823822	-0.000453986693173647	
-0.373568207025528	-0.000448834034614265	
-0.374181628227234	-0.000489932659547776	
-0.374488323926926	-0.000489135272800922	
-0.375101745128632	-0.000525265233591199	
-0.376635253429413	-0.000510850048158318	
-0.376941978931427	-0.000497293658554554	
-0.377862095832825	-0.000504102499689907	
-0.378475517034531	-0.000494165229611099	
-0.379395633935928	-0.000474229309475049	
-0.379395633935928	-0.000502568960655481	
-0.380315750837326	-0.000480363436508924	
-0.38092914223671	-0.00048097685794346	
-0.38184928894043	-0.000488092453451827	
-0.382462680339813	-0.000512199592776597	
-0.383382797241211	-0.000498888490255922	
-0.383996218442917	-0.000506678828969598	
-0.384609639644623	-0.000490300706587732	
-0.385529756546021	-0.000490178063046187	
-0.386143177747726	-0.000530049845110625	
-0.38675656914711	-0.000522443559020758	
-0.387369990348816	-0.000517781591042876	
-0.387676686048508	-0.000518640386871994	
-0.388596802949905	-0.00051367178093642	
-0.389516919851303	-0.000509684556163847	
-0.390743762254715	-0.000513487728312612	
-0.391050457954407	-0.000515450665261596	
-0.391663879156113	-0.000512444938067347	
-0.392277300357819	-0.000532196834683418	
-0.392890691757202	-0.000581269850954413	
-0.393197417259216	-0.000562744797207415	
-0.394117534160614	-0.000554525060579181	
-0.39473095536232	-0.000565198424737901	
-0.395651072263718	-0.000546489318367094	
-0.395957767963409	-0.000546550669241697	
-0.396877884864807	-0.000599120161496103	
-0.397491306066513	-0.000588692142628133	
-0.399024844169617	-0.000571148528251797	
-0.399638235569	-0.00056403293274343	
-0.399944961071014	-0.000549556396435946	
-0.400558352470398	-0.000543483591172844	
-0.401478469371796	-0.000597647973336279	
-0.402091890573502	-0.000587158603593707	
-0.402705311775208	-0.000574092904571444	
-0.403932124376297	-0.00055845087626949	
-0.404238849878311	-0.000582373992074281	
-0.404852241277695	-0.000588017399422824	
-0.405465662479401	-0.000568572198972106	
-0.406079083681107	-0.000617031764704734	
-0.406999200582504	-0.000622123130597174	
-0.407919317483902	-0.000604211469180882	
-0.407919317483902	-0.000611940457019955	
-0.4088394343853	-0.000612676551099867	
-0.409146130084991	-0.000662547012325376	
-0.410679668188095	-0.000659295939840376	
-0.410986363887787	-0.000637765158899128	
-0.411906510591507	-0.000630649563390762	
